"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15","Rep 16","Rep 17","Rep 18","Rep 19","Rep 20","Rep 21","Rep 22","Rep 23","Rep 24","Rep 25","Rep 26","Rep 27","Rep 28","Rep 29","Rep 30"
"Capacitores Produzidos","COUNTER VALUE","Count","User Specified","Capacitores Produzidos",7820820,7804785,7722915,7815660,7751025,7697880,7743795,7779345,7776510,7697430,7806180,7775070,7793040,7795815,7859295,7701660,7837560,7813995,7759275,7685145,7837080,7724430,7739460,7640250,7660080,7795305,7732455,7777680,7787580,7844445
"L1_CapacitoresProduzidos","COUNTER VALUE","None","User Specified","None",1778850,1711260,1758060,1783575,1785090,1714095,1679130,1707480,1749555,1744830,1727325,1780740,1740105,1759005,1739160,1726380,1766565,1777905,1745775,1746720,1785090,1774125,1724490,1721655,1732995,1750500,1741995,1731105,1749555,1772235
"L1_NumeroOrdensFinalizadas","COUNTER VALUE","None","User Specified","None",43,42,43,43,44,42,42,42,43,43,42,43,43,43,43,42,43,43,43,43,44,43,42,42,42,43,43,42,43,43
"L1_R_BPM 01_CapacitoresProduzidos","COUNTER VALUE","None","User Specified","None",511530,509715,526815,531015,510315,523320,504330,500100,499905,482595,515520,510780,516615,520395,490950,516540,504510,533715,520425,518790,540120,519510,512265,524565,513525,518535,502050,519360,504120,498645
"L1_R_BPM 01_Setups","COUNTER VALUE","None","User Specified","None",38,37,37,39,39,37,36,37,38,39,39,38,38,39,40,38,40,38,37,38,40,38,38,38,39,38,38,37,39,39
"L1_R_BPM 02_CapacitoresProduzidos","COUNTER VALUE","None","User Specified","None",690735,649035,659085,678450,708945,628545,630480,654720,684645,691875,661155,705570,659040,669150,700095,657255,690225,664950,674040,667875,671190,700800,669105,643665,658440,661980,683550,654930,677505,709590
"L1_R_BPM 02_Setups","COUNTER VALUE","None","User Specified","None",41,38,40,41,41,39,39,39,40,39,40,41,39,40,40,40,42,41,40,40,41,41,40,40,39,40,41,40,40,40
"L1_R_BPM 04 Extra_CapacitoresProduzidos","COUNTER VALUE","None","User Specified","None",598890,572355,593895,592635,587565,582075,563220,572505,588630,593040,568155,586695,586185,589305,572685,572925,591300,597765,571155,578955,592680,574230,560625,569040,579480,587940,579075,575265,593445,585360
"L1_R_BPM 04 Extra_Setups","COUNTER VALUE","None","User Specified","None",41,39,39,40,41,40,39,38,40,41,38,41,40,38,39,39,40,41,40,39,40,41,39,40,39,40,40,40,39,41
"L1_R_Dosagem 01_CapacitoresProduzidos","COUNTER VALUE","None","User Specified","None",1059945,1665885,1704465,1736640,1070985,1659015,1622910,1664280,1067760,1050540,1680825,1075455,1695000,1703670,1044270,1683165,1088160,1723005,1690755,1691415,1731495,1080135,1019040,1666170,1688610,1696635,1053585,1685715,1054590,1061355
"L1_R_Dosagem 01_Setups","COUNTER VALUE","None","User Specified","None",45,43,44,45,45,43,43,43,44,44,43,45,44,44,44,43,44,44,44,44,45,45,43,43,44,44,44,44,44,44
"L1_R_Dosagem Extra_CapacitoresProduzidos","COUNTER VALUE","None","User Specified","None",727980,51990,60210,51285,723555,61695,61890,49815,692190,703740,53115,714360,51720,61950,704340,50775,688800,61140,61635,61920,61155,704385,715845,61155,50550,59535,698805,51555,705360,721275
"L1_R_Dosagem Extra_Setups","COUNTER VALUE","None","User Specified","None",39,5,7,6,39,8,8,5,37,38,6,37,7,7,36,6,38,7,8,8,7,36,35,7,6,6,36,6,38,39
"L1_R_Montagem Final 01_CapacitoresProduzidos","COUNTER VALUE","None","User Specified","None",1778850,1711260,1758060,1783575,1785090,1714095,1679130,1707480,1749555,1744830,1727325,1780740,1740105,1759005,1739160,1726380,1766565,1777905,1745775,1746720,1785090,1774125,1724490,1721655,1732995,1750500,1741995,1731105,1749555,1772235
"L1_R_Montagem Final 01_Setups","COUNTER VALUE","None","User Specified","None",44,43,44,44,45,43,43,43,44,44,43,44,44,44,44,43,44,44,44,44,45,44,43,43,43,44,44,43,44,44
"L1_R_Vacuo 01_CapacitoresProduzidos","COUNTER VALUE","None","User Specified","None",1058430,1663050,1701630,1733805,1068150,1657125,1621020,1661445,1064925,1048650,1677990,1072620,1692165,1700835,1041435,1680330,1085325,1720545,1687920,1688580,1728660,1077300,1016205,1664280,1686225,1694745,1050750,1683330,1051755,1058520
